Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,19020241217,19,2024-12-17T00:00:00,45,119,164,LtB210_T
pedestrian-counting-system-monthly-counts-per-hour.zip,542020241218,54,2024-12-18T20:00:00,62,78,140,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1671820241215,167,2024-12-15T18:00:00,38,33,71,Lat526_T_2
pedestrian-counting-system-monthly-counts-per-hour.zip,19920241220,19,2024-12-20T09:00:00,81,70,151,LtB210_T
pedestrian-counting-system-monthly-counts-per-hour.zip,202220241209,20,2024-12-09T22:00:00,139,163,302,LtB170_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1391220241209,139,2024-12-09T12:00:00,42,65,107,Signal1647_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1071120241214,107,2024-12-14T11:00:00,99,127,226,280Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1371820241210,137,2024-12-10T18:00:00,15,49,64,BouHbr2353_T
pedestrian-counting-system-monthly-counts-per-hour.zip,541320241209,54,2024-12-09T13:00:00,114,91,205,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,43820241222,43,2024-12-22T08:00:00,14,8,22,UM2_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1301820241231,130,2024-12-31T18:00:00,103,29,132,Bou892T
pedestrian-counting-system-monthly-counts-per-hour.zip,541020241219,54,2024-12-19T10:00:00,52,41,93,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,20320241208,20,2024-12-08T03:00:00,57,74,131,LtB170_T
pedestrian-counting-system-monthly-counts-per-hour.zip,69720241201,69,2024-12-01T07:00:00,24,13,37,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,462020241203,46,2024-12-03T20:00:00,34,17,51,Pel147_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1420241208,1,2024-12-08T04:00:00,13,40,53,Bou292_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1361820241213,136,2024-12-13T18:00:00,141,61,202,BirFed1120_T
pedestrian-counting-system-monthly-counts-per-hour.zip,211020241219,21,2024-12-19T10:00:00,132,115,247,Bourke155_T
pedestrian-counting-system-monthly-counts-per-hour.zip,511920241230,51,2024-12-30T19:00:00,86,91,177,Fra118_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1642020241212,164,2024-12-12T20:00:00,64,93,157,Lat526_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,130820241203,130,2024-12-03T08:00:00,29,20,49,Bou892T
pedestrian-counting-system-monthly-counts-per-hour.zip,1361820241226,136,2024-12-26T18:00:00,23,3595,3618,BirFed1120_T
pedestrian-counting-system-monthly-counts-per-hour.zip,702220241206,70,2024-12-06T22:00:00,205,109,314,Errol20_T
pedestrian-counting-system-monthly-counts-per-hour.zip,481120241220,48,2024-12-20T11:00:00,254,228,482,QVMQ_T
pedestrian-counting-system-monthly-counts-per-hour.zip,143320241215,143,2024-12-15T03:00:00,96,52,148,Spencer_T
pedestrian-counting-system-monthly-counts-per-hour.zip,232020241225,23,2024-12-25T20:00:00,106,183,289,Col623_T
pedestrian-counting-system-monthly-counts-per-hour.zip,31020241221,31,2024-12-21T00:00:00,61,131,192,Lyg161_T
pedestrian-counting-system-monthly-counts-per-hour.zip,8520241230,8,2024-12-30T05:00:00,7,9,16,WebBN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,172220241205,17,2024-12-05T22:00:00,97,152,249,Col15_T
pedestrian-counting-system-monthly-counts-per-hour.zip,63220241222,63,2024-12-22T02:00:00,6,68,74,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,2220241215,2,2024-12-15T02:00:00,57,101,158,Bou283_T
pedestrian-counting-system-monthly-counts-per-hour.zip,9520241216,9,2024-12-16T05:00:00,15,36,51,Col700_T
pedestrian-counting-system-monthly-counts-per-hour.zip,611620241219,61,2024-12-19T16:00:00,264,320,584,RMIT14_T
pedestrian-counting-system-monthly-counts-per-hour.zip,582320241218,58,2024-12-18T23:00:00,132,174,306,Bou688_T
pedestrian-counting-system-monthly-counts-per-hour.zip,301920241226,30,2024-12-26T19:00:00,321,533,854,Lon189_T
pedestrian-counting-system-monthly-counts-per-hour.zip,231520241214,23,2024-12-14T15:00:00,180,228,408,Col623_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1611020241215,161,2024-12-15T10:00:00,59,127,186,BirArt1109_T
pedestrian-counting-system-monthly-counts-per-hour.zip,31820241214,3,2024-12-14T18:00:00,1019,1338,2357,Swa295_T
pedestrian-counting-system-monthly-counts-per-hour.zip,711520241211,71,2024-12-11T15:00:00,11,7,18,WestWP_T
pedestrian-counting-system-monthly-counts-per-hour.zip,123620241209,123,2024-12-09T06:00:00,2,0,2,BirBridge_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,28920241215,28,2024-12-15T09:00:00,179,190,369,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,54320241206,54,2024-12-06T03:00:00,5,6,11,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,54420241218,54,2024-12-18T04:00:00,1,1,2,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,107520241208,107,2024-12-08T05:00:00,16,6,22,280Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,181820241208,18,2024-12-08T18:00:00,42,32,74,Col12_T
pedestrian-counting-system-monthly-counts-per-hour.zip,671220241203,67,2024-12-03T12:00:00,508,713,1221,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1091920241210,109,2024-12-10T19:00:00,67,105,172,LatWill_T
pedestrian-counting-system-monthly-counts-per-hour.zip,136320241230,136,2024-12-30T03:00:00,0,1,1,BirFed1120_T
pedestrian-counting-system-monthly-counts-per-hour.zip,632020241211,63,2024-12-11T20:00:00,189,361,550,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,68520241231,68,2024-12-31T05:00:00,2,2,4,FLDegN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,511120241226,51,2024-12-26T11:00:00,78,62,140,Fra118_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1372220241214,137,2024-12-14T22:00:00,3,1,4,BouHbr2353_T
pedestrian-counting-system-monthly-counts-per-hour.zip,541420241225,54,2024-12-25T14:00:00,32,44,76,Swa607_T
pedestrian-counting-system-monthly-counts-per-hour.zip,91520241223,9,2024-12-23T15:00:00,218,106,324,Col700_T
pedestrian-counting-system-monthly-counts-per-hour.zip,671120241212,67,2024-12-12T11:00:00,315,402,717,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,2820241208,2,2024-12-08T08:00:00,43,58,101,Bou283_T
pedestrian-counting-system-monthly-counts-per-hour.zip,81220241208,8,2024-12-08T12:00:00,148,243,391,WebBN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,78920241215,78,2024-12-15T09:00:00,41,87,128,HarEsB_T
pedestrian-counting-system-monthly-counts-per-hour.zip,14020241225,14,2024-12-25T00:00:00,729,152,881,SanBri_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1311320241215,131,2024-12-15T13:00:00,114,92,206,King2_T
pedestrian-counting-system-monthly-counts-per-hour.zip,2820241229,2,2024-12-29T08:00:00,44,52,96,Bou283_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1371920241220,137,2024-12-20T19:00:00,16,24,40,BouHbr2353_T
