num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S058451,2025-05-18,06:00:00,AVDA. PESETA,11,CARABANCHEL,Colisión lateral,,Turismo,Conductor,De 55 a 59 años,Hombre,,Desconocido,435356,4468284,false,false
2025S058461,2025-05-18,16:47:00,CALL. MERIDA / CALL. OBERON,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,446088,4472942,false,true
2025S058461,2025-05-18,16:47:00,CALL. MERIDA / CALL. OBERON,14,MORATALAZ,Colisión fronto-lateral,Despejado,VMU eléctrico,Conductor,De 10 a 14 años,Hombre,3,Ingreso superior a 24 horas,446088,4472942,false,false
2025S058464,2025-05-18,18:10:00,AVDA. AMERICA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,442629,4476597,false,false
2025S058464,2025-05-18,18:10:00,AVDA. AMERICA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,14,Sin asistencia sanitaria,442629,4476597,false,false
2025S058464,2025-05-18,18:10:00,AVDA. AMERICA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,14,Sin asistencia sanitaria,442629,4476597,false,false
2025S058465,2025-05-18,16:05:00,CALL. DUQUESA DE PARCENT / CALL. CUART DE POBLET,10,LATINA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,,Desconocido,436572,4471910,false,false
2025S058465,2025-05-18,16:05:00,CALL. DUQUESA DE PARCENT / CALL. CUART DE POBLET,10,LATINA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,,Desconocido,436572,4471910,false,false
2025S058465,2025-05-18,16:05:00,CALL. DUQUESA DE PARCENT / CALL. CUART DE POBLET,10,LATINA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 35 a 39 años,Hombre,,Desconocido,436572,4471910,false,false
2025S058466,2025-05-18,17:30:00,CALL. CARAMUEL / PASEO. OLIVOS,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,438032,4473150,false,false
2025S058467,2025-05-18,19:50:00,CALL. SAN PEDRO DE CARDEÑA,16,HORTALEZA,Otro,Despejado,Furgoneta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,443904,4480524,true,true
2025S058467,2025-05-18,19:50:00,CALL. SAN PEDRO DE CARDEÑA,16,HORTALEZA,Otro,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,443904,4480524,false,false
2025S058467,2025-05-18,19:50:00,CALL. SAN PEDRO DE CARDEÑA,16,HORTALEZA,Otro,Despejado,Turismo,Pasajero,De 10 a 14 años,Mujer,2,Ingreso inferior o igual a 24 horas,443904,4480524,false,false
2025S058468,2025-05-18,17:55:00,RONDA. TOLEDO / PLAZA. CAMPILLO DEL MUNDO NUEVO,1,CENTRO,Alcance,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,439937,4473059,false,false
2025S058468,2025-05-18,17:55:00,RONDA. TOLEDO / PLAZA. CAMPILLO DEL MUNDO NUEVO,1,CENTRO,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,439937,4473059,false,false
2025S058468,2025-05-18,17:55:00,RONDA. TOLEDO / PLAZA. CAMPILLO DEL MUNDO NUEVO,1,CENTRO,Alcance,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,14,Sin asistencia sanitaria,439937,4473059,false,false
2025S058468,2025-05-18,17:55:00,RONDA. TOLEDO / PLAZA. CAMPILLO DEL MUNDO NUEVO,1,CENTRO,Alcance,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,439937,4473059,false,false
2025S058469,2025-05-18,16:50:00,AVDA. ENTREVIAS / AVDA. MIGUEL HERNANDEZ,13,PUENTE DE VALLECAS,Caída,Despejado,Motocicleta > 125cc,Conductor,De 30 a 34 años,Hombre,,Desconocido,444575,4469761,false,false
2025S058470,2025-05-18,19:55:00,CALL. MARIA DE MOLINA / CALL. FRANCISCO SILVELA,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,,Desconocido,442479,4476532,false,false
2025S058470,2025-05-18,19:55:00,CALL. MARIA DE MOLINA / CALL. FRANCISCO SILVELA,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,,Desconocido,442479,4476532,false,false
2025S058471,2025-05-18,17:30:00,CALL. GENERAL ORAA / CALL. PRINCIPE DE VERGARA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,,Desconocido,442396,4476362,false,false
2025S058471,2025-05-18,17:30:00,CALL. GENERAL ORAA / CALL. PRINCIPE DE VERGARA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 70 a 74 años,Mujer,,Desconocido,442396,4476362,false,false
2025S058471,2025-05-18,17:30:00,CALL. GENERAL ORAA / CALL. PRINCIPE DE VERGARA,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 50 a 54 años,Mujer,,Desconocido,442396,4476362,false,false
