fecha,hora,identificador,peatones,Número_distrito,distrito,direccion,observaciones_direccion,latitude,longitude
2024-07-01,05:00:00,PERM_PEA01_PM01,118,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,06:00:00,PERM_PEA01_PM01,145,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,07:00:00,PERM_PEA01_PM01,82,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,08:00:00,PERM_PEA01_PM01,140,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,09:00:00,PERM_PEA01_PM01,483,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,10:00:00,PERM_PEA01_PM01,1169,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,11:00:00,PERM_PEA01_PM01,2062,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,12:00:00,PERM_PEA01_PM01,2510,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,13:00:00,PERM_PEA01_PM01,2318,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,14:00:00,PERM_PEA01_PM01,2320,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,15:00:00,PERM_PEA01_PM01,2147,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,16:00:00,PERM_PEA01_PM01,2530,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,17:00:00,PERM_PEA01_PM01,2275,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,18:00:00,PERM_PEA01_PM01,1330,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,19:00:00,PERM_PEA01_PM01,1582,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,20:00:00,PERM_PEA01_PM01,1745,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,21:00:00,PERM_PEA01_PM01,1277,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-01,22:00:00,PERM_PEA01_PM01,850,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-07-02,23:00:00,PERM_PEA01_PM01,559,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,00:00:00,PERM_PEA01_PM01,255,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,01:00:00,PERM_PEA01_PM01,120,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,02:00:00,PERM_PEA01_PM01,70,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,03:00:00,PERM_PEA01_PM01,57,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,04:00:00,PERM_PEA01_PM01,10,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,05:00:00,PERM_PEA01_PM01,26,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,06:00:00,PERM_PEA01_PM01,57,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,07:00:00,PERM_PEA01_PM01,100,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,08:00:00,PERM_PEA01_PM01,282,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,09:00:00,PERM_PEA01_PM01,639,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,10:00:00,PERM_PEA01_PM01,1085,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,11:00:00,PERM_PEA01_PM01,1546,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,12:00:00,PERM_PEA01_PM01,1887,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,13:00:00,PERM_PEA01_PM01,1947,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,14:00:00,PERM_PEA01_PM01,1890,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,15:00:00,PERM_PEA01_PM01,1895,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,16:00:00,PERM_PEA01_PM01,1920,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,17:00:00,PERM_PEA01_PM01,1875,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,18:00:00,PERM_PEA01_PM01,1709,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,19:00:00,PERM_PEA01_PM01,1534,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,20:00:00,PERM_PEA01_PM01,1336,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,21:00:00,PERM_PEA01_PM01,955,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-01,22:00:00,PERM_PEA01_PM01,655,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-08-02,23:00:00,PERM_PEA01_PM01,391,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,00:00:00,PERM_PEA01_PM01,185,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,01:00:00,PERM_PEA01_PM01,82,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,02:00:00,PERM_PEA01_PM01,30,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,03:00:00,PERM_PEA01_PM01,25,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,04:00:00,PERM_PEA01_PM01,18,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,05:00:00,PERM_PEA01_PM01,7,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,06:00:00,PERM_PEA01_PM01,19,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,07:00:00,PERM_PEA01_PM01,95,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-09-01,08:00:00,PERM_PEA01_PM01,306,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
